#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-01-27 14:24:44 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 02091500 CONTENTNEA CREEK AT HOOKERTON, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		85389	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	02091500	00060	85389	1938	10	326.0
USGS	02091500	00060	85389	1938	11	288.5
USGS	02091500	00060	85389	1938	12	480.1
USGS	02091500	00060	85389	1939	1	819.9
USGS	02091500	00060	85389	1939	2	2471
USGS	02091500	00060	85389	1939	3	2530
USGS	02091500	00060	85389	1939	4	737.5
USGS	02091500	00060	85389	1939	5	532.9
USGS	02091500	00060	85389	1939	6	458.4
USGS	02091500	00060	85389	1939	7	2158
USGS	02091500	00060	85389	1939	8	2110
USGS	02091500	00060	85389	1939	9	1177
USGS	02091500	00060	85389	1939	10	259.2
USGS	02091500	00060	85389	1939	11	317.4
USGS	02091500	00060	85389	1939	12	328.5
USGS	02091500	00060	85389	1940	1	686.4
USGS	02091500	00060	85389	1940	2	866.9
USGS	02091500	00060	85389	1940	3	825.3
USGS	02091500	00060	85389	1940	4	770.2
USGS	02091500	00060	85389	1940	5	307.4
USGS	02091500	00060	85389	1940	6	355.4
USGS	02091500	00060	85389	1940	7	203.2
USGS	02091500	00060	85389	1940	8	1540
USGS	02091500	00060	85389	1940	9	245.2
USGS	02091500	00060	85389	1940	10	109.2
USGS	02091500	00060	85389	1940	11	276.6
USGS	02091500	00060	85389	1940	12	286.2
USGS	02091500	00060	85389	1941	1	453.9
USGS	02091500	00060	85389	1941	2	657.0
USGS	02091500	00060	85389	1941	3	983.9
USGS	02091500	00060	85389	1941	4	1060
USGS	02091500	00060	85389	1941	5	196.4
USGS	02091500	00060	85389	1941	6	192.5
USGS	02091500	00060	85389	1941	7	1663
USGS	02091500	00060	85389	1941	8	285.7
USGS	02091500	00060	85389	1941	9	81.7
USGS	02091500	00060	85389	1941	10	49.4
USGS	02091500	00060	85389	1941	11	71.5
USGS	02091500	00060	85389	1941	12	190.7
